predicate,count
expected,52
collapsed,52
paid,52
relegated,51
numbered,51
come,51
placing,51
observed,51
scoring,51
contain,51
producing,51
aimed,51
learn,51
implemented,51
attempted,50
transforms,50
detect,50
assigned,50
enrolled,50
coming,50
stayed,50
occupied,50
need,50
forms,50
sponsored,50
winning,50
coached,50
landed,50
begun,50
faced,50
appearing,50
asks,50
publish,49
seeks,49
escapes,49
open,49
depicted,49
carry,49
represented,49
passing,49
remaining,49
criticised,49
replacing,49
existed,49
describes,49
states,49
refusing,49
read,48
recall,48
kill,48
comes,47
seeking,47
pulled,47
crossing,46
turned,46
failed,46
defend,46
raising,46
reserved,46
claimed,46
crushed,46
posted,46
transformed,46
locked,46
planned,46
marking,45
supposed,45
referring,45
limited,45
meant,45
gathered,45
escape,45
possessed,45
fit,45
planning,45
adds,45
decided,45
survived,44
assumed,44
surrendered,44
emigrated,44
say,44
requested,44
connected,44
nominated,44
turning,44
discusses,44
develop,44
dating,44
tried,44
protected,44
reviewing,44
decide,44
teach,44
titled,44
composed,44
credited,44
trying,44
stop,44
consider,44
maintained,44
reveals,44
thought,44
start,43
riding,43
break,43
accompanying,43
collaborated,43
mutated,43
develops,43
thrown,43
happened,43
retain,43
assisting,43
endorsing,43
transform,43
impact,43
require,43
receiving,43
casting,43
rotating,43
restored,42
gives,42
wore,42
putting,42
die,42
administered,42
accepts,42
forces,42
defrauding,42
varies,42
remixed,42
noted,42
liberate,42
surviving,42
justify,42
claim,42
disappeared,42
resurrecting,42
employed,42
believes,42
encountered,42
immunize,42
confronts,42
decides,42
changing,42
consisted,42
feature,42
advanced,41
hopes,41
shoot,41
cut,41
purchased,40
compared,40
translated,40
raise,40
answer,39
recalled,39
caught,39
track,39
cleared,39
travel,39
offering,39
damaged,39
donated,39
seeded,39
pledged,38
breaking,38
grew,38
tied,38
abandoned,38
armed,38
hold,38
share,38
identify,38
concluded,38
returns,38
installed,38
recruited,38
cutting,38
studying,38
carries,38
reduced,38
to me,38
reflected,38
enlisted,38
designated,38
extract,37
dubbed,37
dismissed,37
awakened,37
regulate,37
seems,37
falls,37
existing,37
flew,37
charged,37
derived,37
trained,37
ensure,37
compete,37
understood,37
occupies,37
replace,37
store,37
retained,37
focused,37
affect,37
granted,37
contact,37
dyed,37
resumed,37
repeated,37
criticized,37
convicted,37
beaten,37
ceased,37
introduce,37
attended,36
may,36
connecting,36
enters,36
ranging,36
revealed,36
goes,36
rebuilt,36
selected,36
acquired,36
standing,36
heads,36
eradicated,36
joining,36
redesignated,36
sit,36
contested,36
discover,36
spoke,36
convinced,36
grown,36
dealt,36
operating,36
drawn,36
sited,36
dated,36
showing,36
hurled,36
seeing,36
range,36
completing,36
finishing,35
suggest,35
sees,35
occur,35
the company,35
participated,35
canvassing,35
shunting,35
teaming,35
climb,35
catch,35
assume,35
confessed,35
allows,35
produces,35
mean,35
organise,35
performs,35
specified,35
inhibits,35
sought,35
opposing,35
also,35
touring,35
stands,35
affects,35
divided,34
fell,34
meet,34
honor,34
direct,33
operated,33
serve,33
cross,33
me,33
scheduled,33
getting,33
lies,33
suspended,32
opening,32
listed,32
inspired,32
check,32
starts,32
concerning,32
follow,32
folded,32
framed,32
expressed,32
but,31
missed,31
moves,31
covering,31
refer,31
assist,31
painted,31
sworn,31
fight,31
exist,31
located,31
lay,31
commanded,31
gave,31
experienced,31
washed,31
traveled,31
refuse,31
mounted,31
attracted,30
causes,30
counter,30
sanctioned,30
rejected,30
stand,30
aided,30
hear,30
earning,30
aired,30
reinforce,30
delayed,30
preceding,30
opposed,30
comprised,30
grant,30
united,30
herded,30
listen,30
finding,30
pressured,30
drop,30
merge,30
generated,30
lodge,30
discontinued,30
showed,30
delivers,30
continue,30
heard,30
protect,30
looked,30
dominated,30
celebrating,30
characterized,30
measuring,30
teaching,30
crashed,30
this,30
relies,30
when,30
guard,30
distinguished,30
missing,29
castigated,29
christened,29
coupled,29
connects,29
representing,29
alleged,29
grows,29
evade,29
enshrined,29
drawing,29
experiencing,29
assassinate,29
explains,29
housed,29
could,29
adjust,29
viewed,29
contrasts,29
so,29
bore,29
informed,29
developing,29
teamed,29
lasted,29
relinquish,29
reunited,29
walk,29
undertake,29
argued,29
pressed,29
marry,29
undermined,29
supplied,29
ends,29
dredged,29
claiming,29
discussed,29
alerts,29
naming,29
serves,29
marinated,29
marks,29
exists,29
tries,28
withdrew,28
practised,28
propagated,28
adding,28
arrives,28
add,28
caters,28
aspires,28
answering,28
influence,28
sheltering,28
determine,28
overseeing,28
aroused,28
retains,28
drove,28
walks,28
report,28
wear,28
command,28
banned,28
siphon,28
enlists,28
blames,28
airing,28
visiting,28
relocates,28
wanting,28
attack,28
fulfilled,28
curtailed,28
trembled,28
solve,28
appended,28
reside,28
stating,28
interred,28
co-opted,28
overtaken,28
ratify,28
collected,28
declaring,28
points,28
fall,28
appoint,28
sings,28
toured,28
scarring,28
experience,28
interfering,28
people,28
further,28
saved,28
force,28
re-designated,28
dampen,28
compose,28
selling,28
sodomized,28
organising,28
conquered,28
my,27
slip,27
calling,27
going,27
mary,27
very,27
close,27
tipped,27
just,26
struck,26
delivered,26
design,26
switch,26
dropping,26
fix,26
ascended,26
still,26
function,26
diminished,25
upset,25
done,25
spaced,25
draw,25
worried,25
works,25
ruled,25
picked,25
bought,25
treated,25
clashed,25
entitled,25
last,25
attending,25
pumping,25
meeting,25
purchase,25
release,25
us,25
breaks,24
should,24
estranged,24
decrease,24
digging,24
beating,24
backing,24
love,24
concerned,24
agreed,24
lodged,24
scraped,24
inherited,24
tracking,24
feed,24
compiled,24
wait,24
claims,24
confused,24
correct,24
drain,24
supply,24
count,24
marched,23
talks,23
reacted,23
houses,23
attacking,23
sustain,23
advocated,23
patient,23
reminded,23
deemed,23
stepped,23
understanding,23
conspired,23
evolved,23
gets,23
speed,23
stopped,23
withdraw,23
abbreviated,23
reinstated,23
segregated,23
exceed,23
descended,23
understand,23
pitted,23
manifest,23
faces,23
batted,23
worshiped,23
imported,23
varying,23
steamed,23
elect,23
asking,23
cover,23
diagnosed,23
educated,23
exposed,23
solved,23
stranded,23
outlined,23
damage,23
cause,23
plan,23
settle,23
point,23
halted,23
injured,23
walked,23
lobbying,23
notes,23
estimated,23
nicknamed,23
demolished,22
proved,22
empower,22
obtain,22
fires,22
voted,22
permit,22
coined,22
writes,22
equals,22
investigating,22
enter,22
dined,22
attained,22
sporting,22
targeted,22
accredited,22
inject,22
outperform,22
remove,22
explain,22
hitched,22
calculate,22
popularize,22
reared,22
drives,22
resulted,22
dammed,22
enhancing,22
appreciate,22
conquer,22
collaborate,22
too,22
owns,22
attacked,22
attracts,22
dominates,22
upheld,22
drinking,22
bonded,22
sealed,22
sustained,22
publishes,22
announcing,22
insisted,22
connect,22
codenamed,22
handcuffed,22
deprived,22
construct,22
deforms,22
projected,22
banished,22
annexed,22
battled,22
allege,22
dripping,22
lead,22
obtaining,22
anticipated,22
matched,22
recovering,22
distancing,22
constitute,22
discern,22
commanding,22
crosses,22
notice,22
forged,22
flee,22
tells,22
receding,22
regained,22
recurred,22
name,22
reveal,22
relied,22
weaken,22
abandon,22
emerged,22
stabilize,22
vented,22
rinsed,22
danced,22
acts,22
intends,22
confirm,22
civilize,22
counted,22
miss,22
converts,22
prefer,22
terminated,22
stabilizes,22
overrun,22
evaluate,22
mandated,22
risked,22
incorporates,22
clinched,22
likes,22
displayed,22
departed,22
valued,22
interned,22
overlooking,22
scoffs,22
awoke,22
intercepted,22
apologized,22
cited,22
pinned,22
recaptured,21
depended,21
express,21
revitalise,21
breed,21
proves,21
utilized,21
summarises,21
renovated,21
engages,21
exhibit,21
re-captured,21
reserving,21
escaping,21
attribute,21
addressing,21
choose,21
altering,21
supports,21
debated,21
undergone,21
replaces,21
knocking,21
shares,21
own,21
conceptualised,21
proposes,21
committed,21
saying,21
good,21
prorogued,21
transmuting,21
gotten,21
confess,21
erasing,21
dedicate,21
assert,21
competing,21
lick,21
refers,21
practiced,21
assessing,21
repulsed,21
matriculated,21
webbed,21
stay,21
rehiring,21
shielded,21
enabling,21
breached,21
shift,21
calculated,21
functioned,21
sortied,21
staying,21
influences,21
lobby,21
defines,21
patented,21
assure,21
erecting,21
woo,21
reading,21
lists,21
honour,21
spend,21
re-appropriate,21
encourages,21
supplementing,21
advance,21
thinks,21
flows,21
exiting,21
co-host,21
captivated,21
incorporate,21
rested,21
redesigned,21
venerated,21
fearing,21
escorted,21
treading,21
lowers,21
excelled,21
reawaken,21
coaxed,21
retitled,21
compress,21
sped,21
rub,21
what,21
ministered,21
commemorating,21
retaining,21
approximated,21
pursuing,21
detonated,21
monetize,21
dominating,21
hauled,21
destroys,21
defeats,21
abolished,21
exterminate,21
outpointed,21
discovers,21
resists,21
captained,21
silting,21
exudes,21
depends,21
rest,21
classify,21
assures,21
talked,21
canceling,21
underwent,21
drew,21
paying,21
surround,21
restoring,21
bypassing,21
transitioned,21
renounced,21
explode,21
harassing,21
inspect,21
fail,21
view,20
racing,20
dealing,20
save,20
complete,20
blast,20
financing,19
drafted,19
topped,19
fired,19
fear,19
ship,19
pulling,19
blamed,19
then,19
land,19
resolved,19
really,19
match,19
knew,19
finish,19
waste,19
sharing,18
bearing,18
centered,18
out,18
offer,18
commented,18
tell,18
sank,18
stem,18
jumped,18
investors,18
aged,18
appeal,18
scaled,18
headed,18
cuts,18
well,18
now,18
no,18
isolated,18
guide,18
enhance,18
fielded,17
pick,17
attacks,17
performing,17
performance,17
suspect,17
divorced,17
strained,17
exercises,17
suppressed,17
reviewed,17
speaking,17
integrate,17
bombed,17
interrupted,17
laying,17
recover,17
struggling,17
scaring,17
quoted,17
failing,17
fund,17
risk,17
throw,17
benefit,17
marked,17
interfere,17
restarted,17
bears,17
keeping,17
remain,17
ride,17
matches,17
how,17
loaded,17
combine,17
like,17
restore,17
acknowledged,17
favored,17
trusted,17
insulated,17
rationalize,17
segregate,17
rushing,17
absorbed,17
scored,17
authorized,17
routed,17
improve,17
averaged,16
try,16
worsened,16
approached,16
separate,16
loved,16
preferred,16
alleviate,16
dancing,16
hatched,16
refrain,16
manufactured,16
sparked,16
exalted,16
vary,16
harmed,16
behave,16
hoped,16
discharged,16
belong,16
why,16
haunted,16
phone,16
setting,16
manipulated,16
embraced,16
provisioning,16
deleted,16
flooded,16
situated,16
your,16
earned,16
driven,16
televised,16
posing,16
sung,16
elicited,16
tore,16
seem,16
communicate,16
line,16
learned,16
wishes,16
yoked,16
more,16
describe,16
needs,16
strengthen,16
happening,16
up,16
coverage,16
arrive,16
warm,16
directing,16
signals,16
amended,16
exit,16
printing,16
wounded,16
note,16
pity,16
starved,16
individualized,16
destroy,16
reflects,16
result,16
acquitted,16
attached,16
feeding,16
negotiate,16
traumatized,16
provoke,16
smashing,16
sampled,16
collaborating,16
preceded,16
relating,16
predate,16
convincing,16
flushed,16
recommended,16
driving,16
staged,16
deals,16
boomed,16
dug,16
investigate,16
omitted,16
arrived,16
increases,16
accommodate,16
derives,16
attract,16
maintaining,16
belongs,16
accelerate,16
entering,16
adapted,16
engulfed,16
span,16
frustrated,16
charted,15
revamped,15
employs,15
removing,15
drinks,15
discarded,15
expect,15
objected,15
foster,15
knighted,15
prompted,15
staffed,15
reconstructed,15
lining,15
indicates,15
row,15
implementing,15
criticizes,15
spanning,15
embarked,15
altered,15
squared,15
signify,15
dispersed,15
manage,15
distracted,15
lifted,15
straddling,15
relates,15
converse,15
defends,15
symbolizing,15
involves,15
originated,15
constrict,15
correlates,15
lacks,15
seemed,15
decreases,15
overstretched,15
suing,15
luxating,15
eliminated,15
linking,15
continuing,15
promoting,15
recuperates,15
envisioned,15
fostered,15
integrated,15
lampooned,15
orphaned,15
record,15
insulating,15
identifying,15
swear,15
scorched,15
illustrates,15
inferred,15
constrained,15
murdered,15
contorting,15
and,15
disrupt,15
punched,15
collecting,15
admitted,15
modeled,15
circumcised,15
pointed,15
facilitate,15
tolerate,15
wiped,15
wants,15
threatening,15
escaped,15
link,15
translate,15
tempered,15
enjoy,15
maximize,15
illustrated,15
monitor,15
regain,15
grow,15
expanding,15
timing,15
gagged,15
happen,15
marvel,15
pioneered,15
lives,15
retiring,15
consisting,15
shouting,15
classified,15
grabbed,15
knowing,15
securing,15
removes,15
generate,15
accepting,15
resemble,15
enhanced,15
denied,15
disintegrate,15
accomplished,15
desired,15
honoring,15
minimize,15
comply,15
witnessed,15
join,15
stumble,15
spelled,15
excised,15
diverge,15
conclude,15
assembling,15
eaten,15
wondered,15
yield,15
embodied,15
fueled,15
rooted,15
preserved,15
sets,15
repented,15
brings,15
alter,15
focusing,15
ending,15
afford,15
destined,15
shirk,15
chilled,15
ignoring,15
outlived,15
resist,15
forcing,15
dangling,15
pursue,15
rebelled,15
the patient,15
smiling,15
asserting,15
wanted,15
riveted,15
assess,15
imposed,15
reaching,14
reflecting,14
fulfil,14
emphasizes,14
understands,14
mobilized,14
befell,14
releases,14
recognised,14
host,14
reprieved,14
receives,14
surfing,14
exhibits,14
reducing,14
helps,14
never,14
possess,14
participate,14
attempts,14
alleging,14
devours,14
diverges,14
demonstrating,14
raced,14
dieselized,14
managing,14
double-majored,14
cares,14
presiding,14
transmitting,14
disbanded,14
miscarried,14
conferred,14
empties,14
acknowledges,14
pertaining,14
hitching,14
shouts,14
unhitching,14
increasing,14
disbanding,14
swallowed,14
specializes,14
negative,14
shifting,14
demonstrates,14
differs,14
examining,14
explained,14
generalized,14
qualifying,14
stems,14
premiered,14
suppress,14
builds,14
borders,14
coordinates,14
linked,14
evaded,14
contributes,14
scavenge,14
ablating,14
rely,14
settles,14
playlisted,14
renewed,14
wished,14
rerecord,14
defining,14
negate,14
encompasses,14
prefers,14
reuniting,14
intersects,14
parallels,14
quenched,14
intersect,14
supervised,14
possesses,14
interacting,14
the market,14
acquires,14
facilitates,14
modify,14
legislated,14
hashed,14
disallowing,14
engaging,14
residing,14
dons,14
argues,14
scorned,14
achieving,14
divides,14
encouraged,14
oxygenate,14
pining,14
himself,14
utilizes,14
allied,14
improves,14
resolving,14
teaches,14
implied,14
decode,14
relaxed,14
flanking,14
maintains,14
regarding,14
prohibited,14
damming,14
overfishing,14
specialized,14
depose,14
turn,14
restricted,14
advertise,14
persisted,14
advertised,14
luxates,14
demonstrated,14
symbolised,14
shuttered,14
signifies,14
expressing,14
preached,14
exchanging,14
right,14
comprehending,14
articulates,14
undergo,14
rebelling,14
hangs,14
finishes,14
supplant,14
mind,14
shoved,14
integrating,14
reprocessed,14
exceeds,14
carrying,14
realizes,14
attributed,14
spreading,14
remembered,14
rotates,14
zigzags,14
limiting,14
hide,14
co-sponsored,14
reassert,14
looming,14
together,14
verifies,14
suspects,14
determining,14
oversees,14
wandered,14
teleport,14
realize,14
resembles,14
ascends,14
depicting,14
emphasize,14
attain,14
deep,14
invoke,14
collect,14
coincide,14
undertook,14
results,14
oppose,14
reduces,14
focuses,14
re-imagined,14
emit,14
reads,14
clarified,14
invade,14
shown,14
repealed,14
inhabit,14
realizing,14
preparing,14
acting,14
topping,14
resigns,14
secures,14
occurring,14
assuring,14
supervise,14
readmitted,14
avoiding,14
wielded,14
requiring,14
lacking,14
heeled,13
already,13
for you,13
explosion,13
torture,13
bid,13
might,13
care,13
sweep,13
economic,13
companies,13
drive,13
themselves,13
must,13
short,12
whiffed,12
great,12
binding,12
bad,12
clear,12
development,12
down,12
our,12
look,12
where,12
mention,12
filling,11
thick,11
long,11
cast,11
through,11
off,11
gain,11
condemned,11
loss,11
the patient 's,11
the government,11
charge,11
training,11
treatment,11
new,11
again,11
cry,11
to him,11
something,10
service,10
review,10
recognition,10
stick,10
retreat,10
blow,10
bound,10
only,10
striking,10
however,10
today,10
improved,10
neighboring,10
dry,10
inked,10
measures,10
high,10
money,10
walking,10
complain,10
implies,10
crying,10
water,10
climbed,10
back,10
dream,10
some,9
dividing,9
congress,9
vote,9
exchange,9
recovered,9
thrummed,9
suspension,9
logging,9
black,9
recurring,9
declaration,9
all,9
fled,9
hiking,9
someone,9
cease,9
here,9
rule,9
better,9
sacrificing,9
one,9
twanged,9
over,9
interview,9
eating,9
lined,9
trade,9
filled,9
dilute,9
credits,9
hired,9
first,9
printed,9
picking,9
tracks,9
broadcasting,9
explaining,9
yesterday,9
strike,9
flat,9
aid,9
mixing,9
's,9
excluding,9
finally,9
crash,9
often,9
boating,9
strikes,8
others,8
visit,8
pretty,8
significant,8
planted,8
tax,8
lectures,8
activated,8
scare,8
revised,8
about it,8
predicted,8
cooling,8
discrimination,8
surveyed,8
regulated,8
screw,8
the wind,8
trembling,8
responsible,8
disintegrating,8
deposed,8
question,8
staggered,8
envisaged,8
there,8
cautioned,8
presents,8
doubling,8
policing,8
positive,8
transcend,8
political,8
permitted,8
deployed,8
grinning,8
true,8
pleaded,8
airs,8
decision,8
self,8
modified,8
market,8
considering,8
sound,8
bald,8
earthquake,8
of him,8
movement,8
assaulted,8
quickly,8
forget,8
obliterate,8
for me,8
licensed,8
overdue,8
endangered,8
sopped,8
abuse,8
eat,8
supporting,8
light,8
currently,8
contradict,8
crack,8
survey,8
sinned,8
tested,8
soon,8
assuming,8
booked,8
actually,8
growing,8
present,8
threatened,8
skirts,8
military,8
blowing,7
suckling,7
touched,7
itself,7
misted,7
research,7
anyone,7
synthesized,7
concluding,7
accounting,7
ensues,7
inflation,7
hoard,7
anticipate,7
the house,7
pulsating,7
drumming,7
idolized,7
bent,7
application,7
crystallised,7
respect,7
persists,7
contrast,7
free,7
ensuing,7
declare,7
venting,7
bored,7
inset,7
acquiring,7
irresponsible,7
extremely,7
patent,7
biopsied,7
analyzing,7
early,7
bidding,7
deploy,7
tooled,7
ring,7
hard,7
barnstorming,7
his face,7
trial,7
sentence,7
fine,7
drink,7
coaled,7
fair,7
plated,7
the country,7
fire,7
shrugging,7
for example,7
exercise,7
recently,7
pray,7
collapse,7
recent,7
profit,7
'll,7
reciprocating,7
darted,7
discussing,7
rolling,7
with him,7
backhanded,7
conflict,7
slow,7
u.s.,7
belted,7
each other,7
dub,7
devoured,7
lapsed,7
entry,7
the water,7
blood,7
echolocating,7
pro,7
the move,7
hauling,7
challenge,7
vaulted,7
horrible,7
process,7
bet,7
heavily,7
basted,7
last year,7
with me,7
plunge,7
beaded,7
flow,7
takeover,7
clung,7
brilliant,7
approach,7
wrong,7
block,7
gross,7
smoke,7
recording,7
applying,7
veiled,7
sense,7
battle,7
things,7
arrest,7
funny,7
establishing,7
election,7
last week,7
activity,7
big,7
organize,7
calm,6
way,6
quick,6
charges,6
analysts,6
even,6
totally,6
summit,6
government,6
watch,6
gay,6
ca,6
next,6
bigoted,6
a man,6
slide,6
taking off,6
race,6
falling,6
progress,6
endorsement,6
warning,6
production,6
plea,6
push,6
the glass,6
competition,6
foreign,6
the game,6
a bit,6
formation,6
appointment,6
late,6
critical,6
social,6
price,6
cure,6
analysis,6
legal,6
japan,6
whooshing,6
judgment,6
withdrawal,6
hot,6
resolution,6
output,6
response,6
issue,6
humanitarian,6
leaves,6
indeed,6
contribution,6
prohibitive,6
inclined,6
parade,6
the dog,6
abdominal,6
the air,6
wave,6
full,6
model,6
address,6
fly,6
round,6
tip,6
encouragement,6
to her,6
tough,6
contest,6
party,6
favorable,6
wild,6
alert,6
cap,6
the state,6
screeched,6
clash,6
assumption,6
batting,6
's it,6
speech,6
input,6
power,6
unique,6
prices,6
touch,6
outside,6
sick,6
the crowd,6
active,6
brave,6
yet,6
to death,6
squeeze,6
the book,6
wide,6
pressing,6
enough,6
clinical,6
on,6
john 's,6
conclusion,6
cynical,6
cheating,6
trouble,6
shame,6
sweat,6
poor,6
collection,6
rerun,6
scented,6
the doctor,6
pleased,6
session,6
much,6
those,6
plumbed,6
shareholders,6
probably,6
breakdown,6
public,6
best,6
everything,6
resigned,6
execution,6
wrenched,6
doing,6
fast,6
manufacturing,5
home,5
buying,5
excuse,5
tour,5
hanging,5
debut,5
his hair,5
establishment,5
demand,5
to the u.s.,5
likely,5
clean,5
quartered,5
mad,5
debate,5
management,5
on me,5
cracking,5
at me,5
severe,5
breakthrough,5
blistered,5
sleep,5
constellated,5
earnings,5
the walls,5
aggressive,5
compensation,5
employment,5
finance,5
plot,5
the sun,5
consumption,5
hammered,5
liable,5
dance,5
rescheduled,5
the president,5
burst,5
technology,5
make out,5
gm,5
police,5
proposition,5
subject,5
access,5
to you,5
cold,5
foolish,5
admission,5
oil,5
children,5
the heavy water,5
other,5
the dollar,5
swing,5
plopped,5
evaluation,5
disappointed,5
ownership,5
strokes,5
boring,5
pounded,5
acceptance,5
stupid,5
blinded,5
handy,5
delay,5
slightly,5
punted,5
contracted,5
to it,5
gummed,5
low,5
retirement,5
addition,5
having,5
picked up,5
rose,5
crowded,5
spinning,5
god,5
doped,5
assembly,5
unsettled,5
human,5
awful,5
amazing,5
space,5
quite,5
life,5
ill,5
the company 's,5
edged,5
vacation,5
reconciliation,5
consecrated,5
swim,5
castrated,5
for years,5
expansion,5
regular,5
snow,5
stippled,5
the area,5
peace,5
unplayable,5
assured,5
everybody,5
bookmarked,5
caddied,5
global,5
tender,5
the situation,5
search,5
delivery,5
to them,5
wonderful,5
less,5
security,5
combusted,5
in,5
to china,5
dive,5
perfectly,5
second,5
completely,5
leap,5
whose,5
stoppage,5
brutal,5
the economy,5
leadership,5
perception,5
examination,5
compromise,5
wedding,5
little,5
dreadful,5
whom,5
skydiving,5
skin,5
exploded,5
accordance,5
pride,5
his head,5
program trading,5
policy,5
shy,5
rise,5
shut,5
always,5
bend,5
realization,5
embarrassing,5
collision,5
pissed,5
bothered,5
in hands,5
the u.s.,5
harm,5
orders,5
order,5
voice,5
armored,5
effect,5
direction,5
advantage,5
offensive,5
trimmed,5
panting,5
allegations,5
profound,5
acknowledgment,5
highly,5
contracting,5
auction,5
stressed,5
unification,5
the idea,5
ok,5
her face,5
squalled,5
zoom,5
pacing,5
depressed,5
snapped,5
splintered,5
in new york,5
boot,5
termination,5
fortified,5
please,5
advertising,5
normal,5
annoyed,5
partial,5
his hands,5
terrible,5
yourself,5
overlap,5
transition,5
cursed,5
wound,5
jealous,5
composition,5
comments,5
gone,5
ford,5
construction,5
wo,5
initiated,5
maundered,5
suspicious,5
frosted,5
illegal,4
white,4
glassed,4
shooting,4
out of hand,4
broke in,4
refiled,4
her husband,4
banging,4
shipwrecked,4
relationship,4
came out,4
association,4
excellent,4
mining,4
hedge,4
grasp,4
meanwhile,4
the road,4
flexible,4
twist,4
battered,4
assignment,4
brief,4
exhibition,4
communication,4
cowardly,4
murder,4
business,4
higher,4
safe,4
astonished,4
promises,4
spread - eagled,4
tired,4
fresh,4
the `` pricing efficiency '' of the futures and stock markets,4
physically,4
coughed,4
plying,4
approval,4
rumored,4
recovery,4
offset,4
inevitable,4
nursing,4
reception,4
circuit,4
announcement,4
fault,4
shopping,4
customers,4
comparable,4
talking,4
same,4
ruin,4
death,4
halt,4
concern,4
mass,4
education,4
symmetric,4
labor,4
put out,4
cooking,4
nice,4
interested,4
the plant,4
accident,4
flared,4
real,4
efface,4
concentrate,4
traffic,4
oversight,4
conclusive,4
buy,4
capture,4
ceremony,4
restraint,4
on them,4
absurd,4
the system,4
roll,4
rambling,4
busted,4
cruel,4
recruitment,4
boxed,4
taxed,4
burn,4
void,4
dull,4
seriously,4
completion,4
bowed,4
rounded,4
almost,4
around,4
inquiry,4
mr. corry,4
balance,4
argument,4
firm,4
guaranteed,4
insult,4
cheered,4
apply,4
test,4
favor,4
follow up,4
wrap,4
determined,4
permission,4
aspirated,4
torn,4
loans,4
conceded,4
hived,4
checking,4
content,4
family,4
pitch,4
counting,4
sting,4
catching,4
foxtrotted,4
the tumor,4
authorization,4
gassed,4
foxed,4
for,4
interest,4
checks,4
transport,4
at him,4
arrival,4
sometimes,4
cooperation,4
turmoil,4
many,4
act,4
transformation,4
the senate,4
baked,4
infected,4
cuddled,4
anger,4
snagged,4
the firm,4
bait,4
cupped,4
successfully,4
action,4
spliced,4
with you,4
competitive,4
easing,4
the test,4
fission,4
both,4
administration,4
hacking,4
